source,date,author,url,pick,team,player,position,school,conference,source-abb,last-name,draft-id
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,5,jacksonville-jaguars,Mason Graham,DL,Michigan,Big Ten,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,6,las-vegas-raiders,Ashton Jeanty,RB,Boise St.,Mountain West,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,7,new-york-jets,Tyler Warren,TE,Penn St.,Big Ten,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,8,carolina-panthers,Jalon Walker,EDGE,Georgia,SEC,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,9,new-orleans-saints,Will Johnson,CB,Michigan,Big Ten,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,10,chicago-bears,Armand Membou,OT,Missouri,SEC,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,11,san-francisco-49ers,Will Campbell,OT,LSU,SEC,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,12,dallas-cowboys,Tetairoa McMillan,WR,Arizona,Big 12,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,13,miami-dolphins,Tetairoa McMillan,WR,South Carolina,SEC,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,14,indianapolis-colts,Colston Loveland,TE,Michigan,Big Ten,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,15,atlanta-falcons,Shemar Stewart,EDGE,Texas A&M,SEC,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,16,arizona-cardinals,Kenneth Grant,DL,Michigan,Big Ten,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,17,cincinnati-bengals,Mykel Williams,EDGE,Georgia,SEC,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,18,seattle-seahawks,Matthew Golden,WR,Texas,SEC,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,19,tampa-bay-buccaneers,Matthew Golden,WR,Alabama,SEC,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,20,denver-broncos,Omarion Hampton,RB,North Carolina,ACC,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,21,pittsburgh-steelers,Walter Nolen,DL,Mississippi,SEC,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,22,los-angeles-chargers,Derrick Harmon,DL,Oregon,Big Ten,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,23,green-bay-packers,Jahdae Barron,CB,Texas,SEC,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,24,minnesota-vikings,Jahdae Barron,CB,Georgia,SEC,Fantasy Life,Freedman,Fantasy Life - Freedman!1
Fantasy Life,2025-03-29,Matthew Freedman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/fantasy-life-2025-matthew-freedman?date=2025-03-29,25,houston-texans,Kelvin Banks,OT,Texas,SEC,Fantasy Life,Freedman,Fantasy Life - Freedman!1
